is_hr,city,scale,is_view,name,url,industry,deliver,ad_type,refresh,month_num,cname,ftype,invite,maxsal,job_label,type,day,minsal,uuid
False,北京,500-2000人,False,算法开发实习生&应届生,https://sxsimg.xiaoyuanzhao.com/00/D9/0029586C467B7748F88CB337DA5385D9.jpg,互联网/移动互联网/电子商务,False,f,11-12,4,鹏博士大数据,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,200,inn_c2oic0lqvhts
False,北京,2000人以上,False,滴滴数据科学实习生（葡萄牙语）,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,10-30,3,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,200,inn_xo5o73ewywdg
False,哈尔滨,2000人以上,False,互联网业务分析师（2020）,https://sxsimg.xiaoyuanzhao.com/68/77/68229C6695A4447F9CDAD99395F30577.png,计算机/互联网,False,f,10-29,10,神州泰岳软件,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_vszb6lv3wddm
False,上海,150-500人,False,数据挖掘工程师（2020校招）,https://sxsimg.xiaoyuanzhao.com/C1/FB/C10C976012E0498AB24A5143B3475BFB.png,计算机/互联网,False,f,10-12,4,莉莉丝游戏,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,250,inn_rurpnrjh3k2t
False,北京,150-500人,False,文本挖掘实习生,https://sxsimg.xiaoyuanzhao.com/0C/AB/0C1E0B49B80A60D0999E87284161C6AB.png,互联网/移动互联网/电子商务,False,f,10-12,8,中科闻歌,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_rlk85emnxfzp
False,成都,150-500人,False,安全服务工程师,https://sxsimg.xiaoyuanzhao.com/E9/1C/E934D9522F70588303C73CD291268D1C.jpg,计算机/互联网,False,f,10-09,10,安洵信息,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_m0x7euflg62t
False,上海,150-500人,False,数据挖掘工程师（2020校招）,https://sxsimg.xiaoyuanzhao.com/C1/FB/C10C976012E0498AB24A5143B3475BFB.png,计算机/互联网,False,f,10-08,4,莉莉丝游戏,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,250,inn_tpmiqxrmeuvv
False,成都,15-50人,False,数据标注实习生,https://sxsimg.xiaoyuanzhao.com/82/42/8216BF4D853639599187EBCD807EC442.png,IT服务/系统集成,False,f,09-29,5,聚微启创,0,False,80,"{'is_ji': False, 'is_quick': False}",intern,5,50,inn_uucii55rz9vu
False,上海,150-500人,False,数据分析师（2020校招）,https://sxsimg.xiaoyuanzhao.com/C1/FB/C10C976012E0498AB24A5143B3475BFB.png,计算机/互联网,False,f,09-29,4,莉莉丝游戏,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,250,inn_styeawfwt8o5
False,苏州,150-500人,False,数据开发实习生,https://sxsimg.xiaoyuanzhao.com/6A/AA/6A79B690B632B65584F3195E7DA317AA.png,计算机/互联网,False,f,09-26,5,momenta,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_mxisjpbmjatj
False,北京,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,09-26,10,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_4rz88oabimqn
False,广州,2000人以上,False,数据分析师（实习）,https://sxsimg.xiaoyuanzhao.com/E8/94/E8707F75CA250AF029682644D0137394.jpg,计算机/互联网,False,f,09-17,11,浩鲸科技,1,False,120,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_lrc1aspwa2bs
False,北京,500-2000人,False,协议分析师,https://sxsimg.xiaoyuanzhao.com/B9/34/B99CA0416389CF75A697CB426A7E2C34.png,互联网,False,f,09-14,3,恒安嘉新,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_4dbvv03qjsfm
False,北京,2000人以上,False,数据分析师 (2020校招),https://sxsimg.xiaoyuanzhao.com/A4/F6/A41938ED6236B62A32428B1E15E73AF6.png,教育/培训/学术/科研/院校,False,f,09-03,4,新东方在线,1,False,0,"{'is_ji': False, 'is_quick': False}",intern,5,0,inn_zbkzgkk42lah
False,深圳,2000人以上,False,数据挖掘工程师 (MJ001218),https://sxsimg.xiaoyuanzhao.com/7B/23/7B124421BF444FDAAE793C53C0600623.png,计算机/互联网,False,f,08-30,12,SHEIN,1,False,0,"{'is_ji': False, 'is_quick': False}",intern,5,0,inn_xrxxwcek2rju
False,上海,500-2000人,False,风控建模实习生,https://sxsimg.xiaoyuanzhao.com/22/71/223E3E18EF15AD659FDB5D7AB597A871.png,互联网,False,f,08-28,11,挖财,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,4,180,inn_14erjfi2edff
False,全国,2000人以上,False,2020秋招-数据分析挖掘工程师,https://sxsimg.xiaoyuanzhao.com/69/64/6940CFDFC4695F35E3D1F5BAA4E51664.png,计算机/互联网,False,f,08-22,12,东方国信,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,120,inn_qmfgq5xs74vh
False,上海,150-500人,False,数据分析(算法向)实习生,https://sxsimg.xiaoyuanzhao.com/C1/FB/C10C976012E0498AB24A5143B3475BFB.png,计算机/互联网,False,f,07-18,4,莉莉丝游戏,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_rzf9fabtlimy
False,上海,15-50人,False,智能网联汽车数据管理工程师,https://sxsimg.xiaoyuanzhao.com/6D/71/6DE4C968BF1147965A90E665C0BAE571.png,"计算机/互联网,通信",False,f,07-03,1,淞泓智能,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_wvyxblkoelxk
False,全国,2000人以上,False,2020校招-数据分析挖掘工程师,https://sxsimg.xiaoyuanzhao.com/69/64/6940CFDFC4695F35E3D1F5BAA4E51664.png,计算机/互联网,False,f,06-12,12,北京东方国信科技股份有限公司,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,120,inn_2k1fg6o1on5u
False,杭州,500-2000人,False,数据分析与挖掘,https://sxsimg.xiaoyuanzhao.com/9E/29/9EF8D65BD00807B39E3CCC215E89D529.jpg,企业服务,False,f,06-10,8,Teradata天睿信科,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_haz03zdprlgu
False,北京,50-150人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/A7/BF/A71700B3A291FE399B87BAF335DF55BF.jpg,互联网,False,f,05-20,12,Baca,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,300,inn_3senichjqvxw
False,上海,500-2000人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/96/32/96F9F2FDDB0FDD57D00C48729C68E532.jpg,电子,False,f,04-18,9,恒润科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_nbcmalmrmihq
False,珠海,150-500人,False,数据运营（统计学专业）,https://sxsimg.xiaoyuanzhao.com/6A/B3/6AB7D2F730DFF0976B194CC6FC964AB3.png,其他,False,f,03-05,12,喜文,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_rawolpns8kqy
