bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_area,rent_price_listing,resblock_name,type
2,3,通州北苑,北京,朝阳,597.0,南 北,1,近地铁 精装 双卫生间 随时看房,整租 · 长桥园公寓 3室1厅 7000元,39.913740999999995,3室1厅2卫,116.63264,https://m.lianjia.com/chuzu/bj/zufang/BJ2121636073372663808.html,112.0,7000,长桥园公寓,整租
0,1,六铺炕,北京,西城,,北,0,精装 随时看房,整租 · 德胜置业朝北大开间，诚心出租，看房随时,39.968913,1室0厅0卫,116.38893999999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2015589658200907776.html,88.0,13000,德胜置业,整租
1,2,望京,北京,朝阳,,东 西,1,精装 集中供暖,整租 · 鹿港嘉苑 2室1厅 10000元,39.987790999999994,2室1厅1卫,116.46353899999998,https://m.lianjia.com/chuzu/bj/zufang/BJ2163172182535184384.html,88.0,10000,鹿港嘉苑,整租
1,2,农展馆,北京,朝阳,181.0,南 北,1,近地铁 集中供暖 新上,农展南里 2室1厅 6800元,39.940931,2室1厅1卫,116.472178,https://m.lianjia.com/chuzu/bj/zufang/BJ2196258734496825344.html,64.0,6800,农展南里,整租
3,5,亦庄,北京,大兴,,南 北,2,新上 随时看房,远洋天著一期 5室2厅 20000元,39.822654,5室2厅3卫,116.52488999999998,https://m.lianjia.com/chuzu/bj/zufang/BJ2194150658473730048.html,379.0,20000,远洋天著一期,整租
1,2,月坛,北京,西城,633.0,南 北,1,集中供暖 随时看房,二七剧场路 2室1厅 8300元,39.915673999999996,2室1厅1卫,116.35218300000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2175948690060222464.html,59.0,8300,二七剧场路,整租
1,1,金融街,北京,西城,348.0,东南,1,近地铁 精装 集中供暖 新上,整租 · 新文化街 1室1厅 7500元,39.909515999999996,1室1厅1卫,116.375371,https://m.lianjia.com/chuzu/bj/zufang/BJ2196338976640466944.html,49.0,7500,新文化街,整租
1,1,崇文门,北京,西城,369.0,南,0,近地铁,王皮胡同 1室0厅 6000元,39.901229,1室0厅1卫,116.403926,https://m.lianjia.com/chuzu/bj/zufang/BJ2127933332804345856.html,15.0,6000,王皮胡同,整租
1,1,工体,北京,朝阳,908.0,南,1,近地铁 集中供暖,幸福二村 1室1厅 6500元,39.945052000000004,1室1厅1卫,116.455926,https://m.lianjia.com/chuzu/bj/zufang/BJ2191991614200102912.html,40.0,6500,幸福二村,整租
1,1,良乡,北京,房山,505.0,南,1,近地铁 集中供暖 随时看房,整租 · 旭辉E天地 2房间1卫 2600元 复式,39.728172,2房间1卫,116.175752,https://m.lianjia.com/chuzu/bj/zufang/BJ2189547816655781888.html,36.0,2600,旭辉E天地,整租
1,2,卢沟桥,北京,丰台,,西南,1,精装 随时看房,整租 · 晓月新城 2室1厅 5000元,39.840984999999996,2室1厅1卫,116.247075,https://m.lianjia.com/chuzu/bj/zufang/BJ2170176946183610368.html,102.0,5000,晓月新城,整租
2,2,知春路,北京,海淀,594.0,东,1,近地铁 精装 集中供暖 双卫生间,整租 · 知春路宏嘉丽园 精装两居落地飘窗 大客厅电梯房,39.978964000000005,2室1厅2卫,116.355271,https://m.lianjia.com/chuzu/bj/zufang/BJ2106254464960184320.html,116.0,13500,宏嘉丽园,整租
2,3,皂君庙,北京,海淀,,东南,1,精装 集中供暖 双卫生间 随时看房,整租 · 四道口 皂君庙 鑫雅苑小区 大三居带电梯两卫,39.967364,3室1厅2卫,116.34596,https://m.lianjia.com/chuzu/bj/zufang/BJ2176829703959085056.html,126.0,12600,鑫雅苑,整租
1,3,双榆树,北京,海淀,706.0,北,1,近地铁 集中供暖 随时看房,整租 · 北三环双安对面可居家可办公优质大三居,39.974109999999996,3室1厅1卫,116.33823100000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2142596038534905856.html,128.0,13000,满庭芳园,整租
1,1,看丹桥,北京,丰台,662.0,南,1,近地铁 集中供暖 随时看房,整租 · ★新华街一里 近地铁 近天坛医院 近总部基地★,39.851341999999995,1室1厅1卫,116.30034099999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2143965457861328896.html,42.0,4300,新华街一里,整租
1,2,崇文门,北京,东城,78.0,西,1,近地铁 精装 集中供暖 新上 随时看房,整租 · 新怡家园附近新世界中心公寓正规两居室 精装修 有钥匙,39.904185,2室1厅1卫,116.42369599999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2194624154928685056.html,154.0,18000,新世界中心,整租
2,2,CBD,北京,朝阳,280.0,西南,1,近地铁 集中供暖 随时看房,金地国际花园 2室1厅 19000元,39.916389,2室1厅2卫,116.48114,https://m.lianjia.com/chuzu/bj/zufang/BJ2189715431798358016.html,112.0,19000,金地国际花园,整租
1,2,新华大街,北京,通州,,西北,1,精装 集中供暖,整租 · 东营前街两居室，业主诚心出租.,39.905491,2室1厅1卫,116.678753,https://m.lianjia.com/chuzu/bj/zufang/BJ2092464608848642048.html,59.0,3500,东营前街,整租
1,3,回龙观,北京,昌平,,南 北,1,精装 集中供暖 新上 随时看房,整租 · 龙兴园北区 3室1厅 5700元,40.083071999999994,3室1厅1卫,116.309045,https://m.lianjia.com/chuzu/bj/zufang/BJ2197179429413715968.html,85.0,5700,龙兴园北区,整租
1,2,劲松,北京,朝阳,524.0,南 北,1,近地铁 集中供暖 随时看房,整租 · 劲松大面积两居  南北向 家具家电齐全,39.888742,2室1厅1卫,116.476467,https://m.lianjia.com/chuzu/bj/zufang/BJ2147514638169022464.html,63.0,6100,农光东里,整租
